code_student;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
1;;;;;78;;;;40;;;;;;38;;;;;;43;;;;;;;;;69
2;;;;;54;;;;;;;;;;;;;;;;;;;;;;;;;
3;;;;;82;;;;;;;;;;;;;;;;;;;;;;;;;
4;;;;;86;;;;;;;;;;;;;;;;;;;;;;;;;
5;;;;;94;;;;90;;;;;;76;;;;;;94;;;;;;;;;90
6;;;;;84;;;;84;;;;;;68;;;;;;74;;;;;;;;;61
7;;;;;88;;;;96;;;;;;86;;;;;;;;;;;;;;;
8;;;;;60;;;;62;;;;;;53;;;;;;40;;;;;;;;;57
9;;;;;72;;;;64;;;;;;46;;;;;;20;;;;;;;;;65
10;;;;;38;;;;;;;;;;;;;;;;;;;;;;;;;
12;;;;;86;;;;88;;;;;;90;;;;;;94;;;;;;;;;96
13;;;;;76;;;;50;;;;;;72;;;;;;61;;;;;;;;;
14;;;;;92;;;;94;;;;;;86;;;;;;90;;;;;;;;;94
16;;;;;64;;;;42;;;;;;42;;;;;;;;;;;;;;;
17;;;;;74;;;;88;;;;;;80;;;;;;86;;;;;;;;;91
19;;;;;66;;;;;;;;;;;;;;;;;;;;;;;;;
20;;;;;56;;;;72;;;;;;;;;;;;;;;;;;;;;
21;;;;;76;;;;44;;;;;;58;;;;;;48;;;;;;;;;62
22;;;;;90;;;;76;;;;;;75;;;;;;84;;;;;;;;;84
23;;;;;84;;;;96;;;;;;92;;;;;;96;;;;;;;;;96
24;;;;;96;;;;86;;;;;;73;;;;;;71;;;;;;;;;86
25;;;;;68;;;;80;;;;;;73;;;;;;64;;;;;;;;;
26;;;;;96;;;;88;;;;;;85;;;;;;79;;;;;;;;;85
27;;;;;96;;;;88;;;;;;73;;;;;;22;;;;;;;;;
28;;;;;68;;;;62;;;;;;;;;;;;;;;;;;;;;
29;;;;;86;;;;88;;;;;;84;;;;;;87;;;;;;;;;96
30;;;;;48;;;;;;;;;;;;;;;;;;;;;;;;;
31;;;;;92;;;;96;;;;;;89;;;;;;87;;;;;;;;;94
32;;;;;74;;;;96;;;;;;66;;;;;;77;;;;;;;;;
34;;;;;76;;;;;;;;;;;;;;;;;;;;;;;;;
35;;;;;60;;;;50;;;;;;45;;;;;;;;;;;;;;;
36;;;;;94;;;;42;;;;;;;;;;;;;;;;;;;;;
37;;;;;68;;;;;;;;;;;;;;;;;;;;;;;;;
38;;;;;100;;;;94;;;;;;83;;;;;;93;;;;;;;;;87
40;;;;;62;;;;;;;;;;;;;;;;;;;;;;;;;
41;;;;;90;;;;84;;;;;;72;;;;;;87;;;;;;;;;62
42;;;;;72;;;;60;;;;;;74;;;;;;77;;;;;;;;;76
43;;;;;80;;;;84;;;;;;80;;;;;;75;;;;;;;;;
44;;;;;94;;;;70;;;;;;67;;;;;;;;;;;;;;;54
46;;;;;80;;;;72;;;;;;;;;;;;;;;;;;;;;
47;;;;;94;;;;90;;;;;;;;;;;;;;;;;;;;;
48;;;;;82;;;;86;;;;;;86;;;;;;;;;;;;;;;
49;;;;;80;;;;94;;;;;;84;;;;;;81;;;;;;;;;58
50;;;;;86;;;;84;;;;;;85;;;;;;88;;;;;;;;;92
51;;;;;86;;;;64;;;;;;80;;;;;;74;;;;;;;;;83
52;;;;;66;;;;72;;;;;;;;;;;;;;;;;;;;;
53;;;;;88;;;;96;;;;;;89;;;;;;88;;;;;;;;;87
54;;;;;62;;;;48;;;;;;31;;;;;;51;;;;;;;;;62
55;;;;;92;;;;96;;;;;;70;;;;;;30;;;;;;;;;
56;;;;;92;;;;;;;;;;;;;;;;;;;;;;;;;
57;;;;;64;;;;70;;;;;;66;;;;;;91;;;;;;;;;75
58;;;;;82;;;;100;;;;;;87;;;;;;85;;;;;;;;;95
59;;;;;82;;;;;;;;;;76;;;;;;0;;;;;;;;;47
60;;;;;78;;;;88;;;;;;82;;;;;;95;;;;;;;;;88
61;;;;;72;;;;80;;;;;;73;;;;;;88;;;;;;;;;69
62;;;;;92;;;;98;;;;;;90;;;;;;;;;;;;;;;
63;;;;;82;;;;54;;;;;;;;;;;;;;;;;;;;;
64;;;;;90;;;;86;;;;;;86;;;;;;90;;;;;;;;;
66;;;;;86;;;;84;;;;;;80;;;;;;82;;;;;;;;;80
67;;;;;100;;;;92;;;;;;81;;;;;;93;;;;;;;;;94
68;;;;;82;;;;96;;;;;;90;;;;;;81;;;;;;;;;88
69;;;;;92;;;;84;;;;;;80;;;;;;80;;;;;;;;;90
70;;;;;76;;;;;;;;;;;;;;;;;;;;;;;;;
71;;;;;74;;;;78;;;;;;55;;;;;;61;;;;;;;;;
72;;;;;78;;;;90;;;;;;53;;;;;;58;;;;;;;;;82
74;;;;;92;;;;82;;;;;;78;;;;;;86;;;;;;;;;85
75;;;;;80;;;;70;;;;;;70;;;;;;60;;;;;;;;;80
77;;;;;70;;;;72;;;;;;74;;;;;;;;;;;;;;;
78;;;;;68;;;;74;;;;;;67;;;;;;66;;;;;;;;;7
79;;;;;;;;;16;;;;;;22;;;;;;39;;;;;;;;;
80;;;;;84;;;;80;;;;;;77;;;;;;88;;;;;;;;;89
81;;;;;92;;;;76;;;;;;89;;;;;;87;;;;;;;;;
82;;;;;96;;;;94;;;;;;87;;;;;;98;;;;;;;;;77
83;;;;;32;;;;;;;;;;;;;;;;;;;;;;;;;
84;;;;;82;;;;68;;;;;;;;;;;;;;;;;;;;;
85;;;;;80;;;;88;;;;;;90;;;;;;84;;;;;;;;;77
86;;;;;76;;;;;;;;;;;;;;;;;;;;;;;;;
87;;;;;100;;;;94;;;;;;66;;;;;;94;;;;;;;;;87
88;;;;;78;;;;62;;;;;;43;;;;;;45;;;;;;;;;
89;;;;;96;;;;94;;;;;;98;;;;;;94;;;;;;;;;97
91;;;;;88;;;;74;;;;;;79;;;;;;59;;;;;;;;;85
92;;;;;80;;;;70;;;;;;77;;;;;;84;;;;;;;;;80
93;;;;;88;;;;88;;;;;;;;;;;;;;;;;;;;;
94;;;;;82;;;;72;;;;;;84;;;;;;78;;;;;;;;;
95;;;;;100;;;;96;;;;;;74;;;;;;85;;;;;;;;;69
96;;;;;80;;;;98;;;;;;91;;;;;;89;;;;;;;;;92
98;;;;;76;;;;;;;;;;;;;;;;;;;;;;;;;
100;;;;;72;;;;64;;;;;;68;;;;;;68;;;;;;;;;68
102;;;;;84;;;;90;;;;;;89;;;;;;85;;;;;;;;;94
103;;;;;74;;;;;;;;;;;;;;;;;;;;;;;;;
104;;;;;94;;;;86;;;;;;79;;;;;;74;;;;;;;;;
105;;;;;84;;;;96;;;;;;89;;;;;;77;;;;;;;;;93
106;;;;;58;;;;80;;;;;;70;;;;;;51;;;;;;;;;63
107;;;;;72;;;;76;;;;;;82;;;;;;55;;;;;;;;;77
110;;;;;62;;;;92;;;;;;58;;;;;;78;;;;;;;;;88
111;;;;;80;;;;76;;;;;;68;;;;;;82;;;;;;;;;58
114;;;;;80;;;;92;;;;;;91;;;;;;75;;;;;;;;;79
115;;;;;78;;;;92;;;;;;83;;;;;;88;;;;;;;;;82
116;;;;;68;;;;64;;;;;;68;;;;;;73;;;;;;;;;53
117;;;;;88;;;;84;;;;;;71;;;;;;66;;;;;;;;;69
118;;;;;78;;;;66;;;;;;88;;;;;;78;;;;;;;;;77
120;;;;;74;;;;68;;;;;;40;;;;;;;;;;;;;;;
121;;;;;98;;;;90;;;;;;94;;;;;;95;;;;;;;;;98
123;;;;;60;;;;64;;;;;;54;;;;;;56;;;;;;;;;60
125;;;;;92;;;;84;;;;;;89;;;;;;91;;;;;;;;;90
127;;;;;94;;;;96;;;;;;90;;;;;;85;;;;;;;;;
129;;;;;88;;;;;;;;;;;;;;;;;;;;;;;;;
130;;;;;74;;;;74;;;;;;47;;;;;;60;;;;;;;;;55
131;;;;;92;;;;92;;;;;;66;;;;;;85;;;;;;;;;58
134;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;;
135;;;;;82;;;;78;;;;;;71;;;;;;81;;;;;;;;;64
136;;;;;80;;;;70;;;;;;;;;;;;;;;;;;;;;
137;;;;;60;;;;86;;;;;;;;;;;;;;;;;;;;;
138;;;;;70;;;;80;;;;;;65;;;;;;51;;;;;;;;;75
139;;;;;94;;;;98;;;;;;89;;;;;;80;;;;;;;;;87
140;;;;;92;;;;74;;;;;;85;;;;;;91;;;;;;;;;91
141;;;;;56;;;;;;;;;;;;;;;;;;;;;;;;;
142;;;;;80;;;;86;;;;;;86;;;;;;81;;;;;;;;;82
144;;;;;84;;;;74;;;;;;74;;;;;;82;;;;;;;;;90
145;;;;;96;;;;92;;;;;;85;;;;;;92;;;;;;;;;89
146;;;;;88;;;;86;;;;;;78;;;;;;95;;;;;;;;;89
147;;;;;74;;;;52;;;;;;47;;;;;;37;;;;;;;;;43
148;;;;;80;;;;88;;;;;;75;;;;;;88;;;;;;;;;85
151;;;;;92;;;;80;;;;;;90;;;;;;85;;;;;;;;;87
154;;;;;76;;;;86;;;;;;;;;;;;;;;;;;;;;
155;;;;;96;;;;90;;;;;;94;;;;;;88;;;;;;;;;97
156;;;;;80;;;;86;;;;;;;;;;;;;;;;;;;;;
157;;;;;94;;;;60;;;;;;77;;;;;;50;;;;;;;;;
158;;;;;22;;;;24;;;;;;;;;;;;;;;;;;;;;
159;;;;;84;;;;92;;;;;;83;;;;;;60;;;;;;;;;72
160;;;;;84;;;;90;;;;;;93;;;;;;95;;;;;;;;;
162;;;;;86;;;;98;;;;;;88;;;;;;84;;;;;;;;;81
163;;;;;66;;;;70;;;;;;;;;;;;;;;;;;;;;
164;;;;;92;;;;96;;;;;;93;;;;;;85;;;;;;;;;92
165;;;;;96;;;;80;;;;;;88;;;;;;84;;;;;;;;;91
166;;;;;60;;;;66;;;;;;72;;;;;;73;;;;;;;;;67
167;;;;;86;;;;68;;;;;;;;;;;;;;;;;;;;;
168;;;;;90;;;;96;;;;;;85;;;;;;81;;;;;;;;;93
169;;;;;42;;;;50;;;;;;57;;;;;;38;;;;;;;;;33
170;;;;;88;;;;56;;;;;;29;;;;;;48;;;;;;;;;22
171;;;;;76;;;;;;;;;;;;;;;;;;;;;;;;;
172;;;;;80;;;;92;;;;;;85;;;;;;80;;;;;;;;;92
173;;;;;76;;;;58;;;;;;;;;;;;;;;;;;;;;
174;;;;;56;;;;72;;;;;;60;;;;;;80;;;;;;;;;74
176;;;;;90;;;;86;;;;;;92;;;;;;83;;;;;;;;;30
178;;;;;88;;;;88;;;;;;86;;;;;;86;;;;;;;;;96
179;;;;;84;;;;86;;;;;;79;;;;;;83;;;;;;;;;92
180;;;;;80;;;;90;;;;;;;;;;;;;;;;;;;;;
181;;;;;56;;;;24;;;;;;50;;;;;;;;;;;;;;;
182;;;;;68;;;;24;;;;;;81;;;;;;63;;;;;;;;;68
185;;;;;76;;;;74;;;;;;69;;;;;;44;;;;;;;;;
187;;;;;72;;;;84;;;;;;89;;;;;;73;;;;;;;;;
188;;;;;70;;;;46;;;;;;73;;;;;;71;;;;;;;;;92
189;;;;;80;;;;72;;;;;;;;;;;;;;;;;;;;;
191;;;;;84;;;;74;;;;;;80;;;;;;83;;;;;;;;;74
192;;;;;68;;;;16;;;;;;16;;;;;;;;;;;;;;;
193;;;;;84;;;;84;;;;;;89;;;;;;82;;;;;;;;;
194;;;;;66;;;;80;;;;;;79;;;;;;69;;;;;;;;;73
195;;;;;84;;;;90;;;;;;88;;;;;;65;;;;;;;;;91
196;;;;;62;;;;30;;;;;;31;;;;;;65;;;;;;;;;69
197;;;;;74;;;;74;;;;;;54;;;;;;56;;;;;;;;;58
198;;;;;62;;;;;;;;;;;;;;;;;;;;;;;;;
199;;;;;70;;;;;;;;;;;;;;;;;;;;;;;;;
200;;;;;72;;;;80;;;;;;78;;;;;;;;;;;;;;;
201;;;;;90;;;;84;;;;;;78;;;;;;76;;;;;;;;;82
202;;;;;88;;;;50;;;;;;51;;;;;;41;;;;;;;;;44
203;;;;;90;;;;98;;;;;;88;;;;;;90;;;;;;;;;96
204;;;;;94;;;;90;;;;;;91;;;;;;90;;;;;;;;;98
205;;;;;72;;;;82;;;;;;76;;;;;;72;;;;;;;;;84
206;;;;;78;;;;66;;;;;;79;;;;;;78;;;;;;;;;69
208;;;;;94;;;;76;;;;;;59;;;;;;55;;;;;;;;;
210;;;;;66;;;;84;;;;;;90;;;;;;89;;;;;;;;;90
212;;;;;50;;;;70;;;;;;61;;;;;;65;;;;;;;;;44
214;;;;;92;;;;72;;;;;;67;;;;;;24;;;;;;;;;0
218;;;;;88;;;;84;;;;;;90;;;;;;95;;;;;;;;;96
219;;;;;74;;;;96;;;;;;82;;;;;;86;;;;;;;;;84
220;;;;;76;;;;90;;;;;;82;;;;;;69;;;;;;;;;
222;;;;;84;;;;48;;;;;;76;;;;;;71;;;;;;;;;86
223;;;;;62;;;;68;;;;;;72;;;;;;81;;;;;;;;;78
224;;;;;84;;;;58;;;;;;;;;;;;;;;;;;;;;
225;;;;;90;;;;78;;;;;;79;;;;;;82;;;;;;;;;73
226;;;;;82;;;;92;;;;;;80;;;;;;82;;;;;;;;;
227;;;;;88;;;;58;;;;;;68;;;;;;75;;;;;;;;;74
228;;;;;68;;;;70;;;;;;76;;;;;;80;;;;;;;;;88
229;;;;;78;;;;24;;;;;;;;;;;;;;;;;;;;;
230;;;;;72;;;;54;;;;;;66;;;;;;67;;;;;;;;;21
232;;;;;92;;;;82;;;;;;;;;;;;;;;;;;;;;
233;;;;;66;;;;94;;;;;;79;;;;;;84;;;;;;;;;92
234;;;;;80;;;;90;;;;;;63;;;;;;;;;;;;;;;
235;;;;;82;;;;68;;;;;;;;;;;;;;;;;;;;;
236;;;;;70;;;;;;;;;;;;;;;;;;;;;;;;;
237;;;;;84;;;;;;;;;;77;;;;;;28;;;;;;;;;67
238;;;;;72;;;;92;;;;;;78;;;;;;90;;;;;;;;;84
239;;;;;72;;;;46;;;;;;87;;;;;;78;;;;;;;;;78
240;;;;;74;;;;70;;;;;;;;;;;;;;;;;;;;;
242;;;;;58;;;;;;;;;;;;;;;;;;;;;;;;;
243;;;;;48;;;;54;;;;;;37;;;;;;35;;;;;;;;;
244;;;;;86;;;;92;;;;;;91;;;;;;93;;;;;;;;;87
245;;;;;80;;;;86;;;;;;55;;;;;;68;;;;;;;;;69
246;;;;;88;;;;48;;;;;;78;;;;;;17;;;;;;;;;
248;;;;;62;;;;;;;;;;;;;;;;;;;;;;;;;
249;;;;;76;;;;80;;;;;;75;;;;;;84;;;;;;;;;89
250;;;;;64;;;;70;;;;;;;;;;;;;;;;;;;;;
251;;;;;96;;;;48;;;;;;;;;;;;;;;;;;;;;
252;;;;;94;;;;88;;;;;;89;;;;;;81;;;;;;;;;70
253;;;;;74;;;;46;;;;;;;;;;;;;;;;;;;;;
254;;;;;94;;;;70;;;;;;;;;;;;;;;;;;;;;
256;;;;;96;;;;72;;;;;;51;;;;;;52;;;;;;;;;59
257;;;;;82;;;;84;;;;;;69;;;;;;77;;;;;;;;;
258;;;;;88;;;;86;;;;;;;;;;;;64;;;;;;;;;
259;;;;;78;;;;86;;;;;;80;;;;;;88;;;;;;;;;92
260;;;;;72;;;;22;;;;;;;;;;;;;;;;;;;;;
261;;;;;100;;;;100;;;;;;92;;;;;;96;;;;;;;;;99
262;;;;;98;;;;94;;;;;;95;;;;;;94;;;;;;;;;95
263;;;;;68;;;;76;;;;;;55;;;;;;43;;;;;;;;;17
264;;;;;92;;;;84;;;;;;84;;;;;;84;;;;;;;;;94
265;;;;;80;;;;92;;;;;;85;;;;;;81;;;;;;;;;80
266;;;;;96;;;;96;;;;;;93;;;;;;97;;;;;;;;;95
267;;;;;82;;;;84;;;;;;66;;;;;;90;;;;;;;;;90
268;;;;;80;;;;92;;;;;;;;;;;;;;;;;;;;;
270;;;;;88;;;;100;;;;;;90;;;;;;89;;;;;;;;;92
271;;;;;82;;;;90;;;;;;70;;;;;;62;;;;;;;;;69
272;;;;;60;;;;50;;;;;;42;;;;;;29;;;;;;;;;36
274;;;;;100;;;;96;;;;;;92;;;;;;93;;;;;;;;;89
275;;;;;70;;;;76;;;;;;74;;;;;;77;;;;;;;;;75
276;;;;;92;;;;96;;;;;;85;;;;;;88;;;;;;;;;77
277;;;;;80;;;;80;;;;;;62;;;;;;63;;;;;;;;;79
278;;;;;86;;;;78;;;;;;63;;;;;;84;;;;;;;;;92
279;;;;;84;;;;72;;;;;;87;;;;;;74;;;;;;;;;81
281;;;;;90;;;;76;;;;;;75;;;;;;;;;;;;;;;
283;;;;;86;;;;82;;;;;;75;;;;;;93;;;;;;;;;97
284;;;;;74;;;;52;;;;;;;;;;;;;;;;;;;;;
285;;;;;88;;;;;;;;;;;;;;;;;;;;;;;;;
286;;;;;96;;;;92;;;;;;;;;;;;;;;;;;;;;
287;;;;;72;;;;72;;;;;;82;;;;;;84;;;;;;;;;66
288;;;;;80;;;;84;;;;;;71;;;;;;46;;;;;;;;;29
289;;;;;70;;;;76;;;;;;71;;;;;;75;;;;;;;;;71
292;;;;;86;;;;92;;;;;;80;;;;;;79;;;;;;;;;62
294;;;;;88;;;;36;;;;;;48;;;;;;8;;;;;;;;;54
295;;;;;78;;;;86;;;;;;75;;;;;;78;;;;;;;;;84
296;;;;;78;;;;94;;;;;;88;;;;;;78;;;;;;;;;78
298;;;;;72;;;;56;;;;;;;;;;;;;;;;;;;;;
299;;;;;58;;;;70;;;;;;;;;;;;;;;;;;;;;
300;;;;;94;;;;86;;;;;;;;;;;;62;;;;;;;;;
301;;;;;84;;;;76;;;;;;72;;;;;;52;;;;;;;;;64
302;;;;;86;;;;82;;;;;;77;;;;;;75;;;;;;;;;81
304;;;;;82;;;;70;;;;;;51;;;;;;31;;;;;;;;;58
306;;;;;80;;;;54;;;;;;69;;;;;;;;;;;;;;;
308;;;;;84;;;;;;;;;;56;;;;;;52;;;;;;;;;26
309;;;;;86;;;;;;;;;;;;;;;;;;;;;;;;;
310;;;;;88;;;;84;;;;;;85;;;;;;93;;;;;;;;;82
312;;;;;88;;;;88;;;;;;88;;;;;;87;;;;;;;;;92
313;;;;;90;;;;78;;;;;;87;;;;;;82;;;;;;;;;81
314;;;;;78;;;;88;;;;;;69;;;;;;73;;;;;;;;;87
315;;;;;60;;;;46;;;;;;59;;;;;;50;;;;;;;;;58
316;;;;;86;;;;84;;;;;;81;;;;;;79;;;;;;;;;90
317;;;;;88;;;;60;;;;;;95;;;;;;93;;;;;;;;;78
318;;;;;76;;;;92;;;;;;84;;;;;;79;;;;;;;;;87
320;;;;;76;;;;78;;;;;;47;;;;;;70;;;;;;;;;73
322;;;;;78;;;;;;;;;;;;;;;;;;;;;;;;;
323;;;;;82;;;;;;;;;;;;;;;;;;;;;;;;;
324;;;;;80;;;;68;;;;;;;;;;;;;;;;;;;;;
325;;;;;74;;;;94;;;;;;89;;;;;;85;;;;;;;;;
327;;;;;74;;;;88;;;;;;70;;;;;;82;;;;;;;;;67
328;;;;;78;;;;92;;;;;;86;;;;;;49;;;;;;;;;
330;;;;;76;;;;68;;;;;;80;;;;;;;;;;;;;;;
331;;;;;70;;;;58;;;;;;71;;;;;;80;;;;;;;;;93
333;;;;;62;;;;62;;;;;;62;;;;;;58;;;;;;;;;36
335;;;;;70;;;;84;;;;;;78;;;;;;78;;;;;;;;;88
337;;;;;74;;;;72;;;;;;41;;;;;;33;;;;;;;;;62
340;;;;;74;;;;72;;;;;;74;;;;;;80;;;;;;;;;80
341;;;;;90;;;;86;;;;;;75;;;;;;89;;;;;;;;;52
344;;;;;74;;;;70;;;;;;55;;;;;;59;;;;;;;;;63
345;;;;;68;;;;66;;;;;;54;;;;;;37;;;;;;;;;66
346;;;;;82;;;;60;;;;;;48;;;;;;61;;;;;;;;;68
347;;;;;70;;;;74;;;;;;64;;;;;;55;;;;;;;;;76
348;;;;;68;;;;62;;;;;;;;;;;;;;;;;;;;;
349;;;;;78;;;;70;;;;;;61;;;;;;;;;;;;;;;
350;;;;;72;;;;84;;;;;;71;;;;;;87;;;;;;;;;93
351;;;;;92;;;;80;;;;;;95;;;;;;93;;;;;;;;;95
352;;;;;70;;;;66;;;;;;55;;;;;;60;;;;;;;;;67
353;;;;;86;;;;48;;;;;;;;;;;;;;;;;;;;;
354;;;;;86;;;;76;;;;;;78;;;;;;84;;;;;;;;;
355;;;;;70;;;;;;;;;;;;;;;;;;;;;;;;;
356;;;;;84;;;;92;;;;;;84;;;;;;45;;;;;;;;;41
357;;;;;84;;;;50;;;;;;43;;;;;;48;;;;;;;;;64
358;;;;;88;;;;86;;;;;;85;;;;;;82;;;;;;;;;91
359;;;;;86;;;;80;;;;;;77;;;;;;75;;;;;;;;;86
360;;;;;90;;;;64;;;;;;;;;;;;;;;;;;;;;
361;;;;;80;;;;68;;;;;;71;;;;;;80;;;;;;;;;68
365;;;;;72;;;;46;;;;;;40;;;;;;0;;;;;;;;;
366;;;;;50;;;;16;;;;;;;;;;;;;;;;;;;;;
367;;;;;60;;;;;;;;;;;;;;;;;;;;;;;;;
368;;;;;100;;;;82;;;;;;88;;;;;;99;;;;;;;;;90
369;;;;;;;;;;;;;;;74;;;;;;57;;;;;;;;;
370;;;;;86;;;;84;;;;;;87;;;;;;81;;;;;;;;;73
371;;;;;86;;;;;;;;;;;;;;;;;;;;;;;;;
372;;;;;80;;;;78;;;;;;68;;;;;;71;;;;;;;;;58
373;;;;;88;;;;82;;;;;;69;;;;;;31;;;;;;;;;
374;;;;;84;;;;74;;;;;;83;;;;;;85;;;;;;;;;67
375;;;;;84;;;;60;;;;;;79;;;;;;73;;;;;;;;;
376;;;;;74;;;;76;;;;;;73;;;;;;57;;;;;;;;;75
377;;;;;80;;;;52;;;;;;;;;;;;;;;;;;;;;
379;;;;;82;;;;80;;;;;;83;;;;;;75;;;;;;;;;73
380;;;;;88;;;;96;;;;;;88;;;;;;93;;;;;;;;;87
381;;;;;74;;;;58;;;;;;;;;;;;;;;;;;;;;
382;;;;;60;;;;84;;;;;;70;;;;;;80;;;;;;;;;86
383;;;;;80;;;;88;;;;;;84;;;;;;84;;;;;;;;;88
384;;;;;82;;;;84;;;;;;81;;;;;;84;;;;;;;;;82
385;;;;;92;;;;84;;;;;;76;;;;;;91;;;;;;;;;90
386;;;;;84;;;;72;;;;;;88;;;;;;42;;;;;;;;;
387;;;;;74;;;;64;;;;;;73;;;;;;74;;;;;;;;;72
388;;;;;68;;;;;;;;;;;;;;;;;;;;;;;;;
389;;;;;64;;;;38;;;;;;;;;;;;;;;;;;;;;
391;;;;;96;;;;94;;;;;;80;;;;;;82;;;;;;;;;81
392;;;;;72;;;;96;;;;;;74;;;;;;77;;;;;;;;;79
394;;;;;66;;;;;;;;;;;;;;;;;;;;;;;;;
395;;;;;78;;;;74;;;;;;86;;;;;;77;;;;;;;;;71
396;;;;;90;;;;92;;;;;;86;;;;;;90;;;;;;;;;96
397;;;;;70;;;;70;;;;;;73;;;;;;76;;;;;;;;;81
399;;;;;90;;;;96;;;;;;79;;;;;;55;;;;;;;;;72
402;;;;;74;;;;64;;;;;;61;;;;;;52;;;;;;;;;58
403;;;;;52;;;;64;;;;;;18;;;;;;;;;;;;;;;
405;;;;;62;;;;64;;;;;;46;;;;;;40;;;;;;;;;39
406;;;;;50;;;;44;;;;;;;;;;;;;;;;;;;;;
407;;;;;76;;;;44;;;;;;;;;;;;;;;;;;;;;
408;;;;;68;;;;86;;;;;;66;;;;;;64;;;;;;;;;97
409;;;;;84;;;;96;;;;;;91;;;;;;89;;;;;;;;;98
410;;;;;66;;;;86;;;;;;71;;;;;;40;;;;;;;;;66
411;;;;;88;;;;92;;;;;;5;;;;;;31;;;;;;;;;
412;;;;;78;;;;94;;;;;;85;;;;;;85;;;;;;;;;86
413;;;;;54;;;;70;;;;;;54;;;;;;57;;;;;;;;;66
415;;;;;92;;;;54;;;;;;72;;;;;;48;;;;;;;;;79
417;;;;;66;;;;;;;;;;;;;;;;;;;;;;;;;
418;;;;;94;;;;86;;;;;;78;;;;;;81;;;;;;;;;84
419;;;;;74;;;;84;;;;;;;;;;;;;;;;;;;;;
420;;;;;62;;;;76;;;;;;41;;;;;;79;;;;;;;;;25
422;;;;;78;;;;64;;;;;;52;;;;;;83;;;;;;;;;73
423;;;;;64;;;;92;;;;;;67;;;;;;78;;;;;;;;;72
424;;;;;86;;;;90;;;;;;84;;;;;;77;;;;;;;;;91
426;;;;;62;;;;68;;;;;;;;;;;;;;;;;;;;;
428;;;;;98;;;;98;;;;;;98;;;;;;96;;;;;;;;;98
429;;;;;68;;;;46;;;;;;31;;;;;;54;;;;;;;;;48
430;;;;;84;;;;82;;;;;;95;;;;;;;;;;;;;;;
431;;;;;82;;;;76;;;;;;71;;;;;;63;;;;;;;;;75
432;;;;;24;;;;68;;;;;;52;;;;;;32;;;;;;;;;54
433;;;;;64;;;;56;;;;;;54;;;;;;24;;;;;;;;;
434;;;;;98;;;;78;;;;;;76;;;;;;51;;;;;;;;;
435;;;;;90;;;;86;;;;;;88;;;;;;95;;;;;;;;;83
436;;;;;70;;;;84;;;;;;73;;;;;;65;;;;;;;;;82
437;;;;;78;;;;90;;;;;;78;;;;;;78;;;;;;;;;92
439;;;;;86;;;;96;;;;;;86;;;;;;94;;;;;;;;;81
440;;;;;64;;;;;;;;;;;;;;;;;;;;;;;;;
441;;;;;86;;;;94;;;;;;92;;;;;;61;;;;;;;;;
442;;;;;62;;;;82;;;;;;74;;;;;;56;;;;;;;;;45
443;;;;;64;;;;;;;;;;;;;;;;;;;;;;;;;
444;;;;;78;;;;80;;;;;;85;;;;;;74;;;;;;;;;91
445;;;;;66;;;;;;;;;;24;;;;;;;;;;;;;;;
446;;;;;94;;;;92;;;;;;77;;;;;;81;;;;;;;;;81
447;;;;;76;;;;74;;;;;;86;;;;;;69;;;;;;;;;85
448;;;;;92;;;;86;;;;;;84;;;;;;86;;;;;;;;;93
450;;;;;90;;;;86;;;;;;85;;;;;;53;;;;;;;;;72
451;;;;;70;;;;78;;;;;;;;;;;;;;;;;;;;;
452;;;;;96;;;;98;;;;;;96;;;;;;97;;;;;;;;;100
453;;;;;82;;;;62;;;;;;28;;;;;;47;;;;;;;;;53
455;;;;;82;;;;76;;;;;;81;;;;;;90;;;;;;;;;87
457;;;;;98;;;;68;;;;;;62;;;;;;59;;;;;;;;;45
459;;;;;66;;;;82;;;;;;72;;;;;;57;;;;;;;;;
460;;;;;86;;;;86;;;;;;78;;;;;;79;;;;;;;;;75
461;;;;;72;;;;78;;;;;;78;;;;;;72;;;;;;;;;80
462;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;
463;;;;;56;;;;66;;;;;;28;;;;;;49;;;;;;;;;58
464;;;;;72;;;;84;;;;;;68;;;;;;;;;;;;;;;
465;;;;;62;;;;32;;;;;;;;;;;;;;;;;;;;;
466;;;;;80;;;;94;;;;;;69;;;;;;84;;;;;;;;;
467;;;;;76;;;;78;;;;;;64;;;;;;76;;;;;;;;;63
468;;;;;90;;;;70;;;;;;93;;;;;;89;;;;;;;;;20
469;;;;;70;;;;76;;;;;;61;;;;;;68;;;;;;;;;75
470;;;;;84;;;;96;;;;;;76;;;;;;74;;;;;;;;;75
471;;;;;66;;;;64;;;;;;70;;;;;;84;;;;;;;;;79
472;;;;;86;;;;92;;;;;;80;;;;;;80;;;;;;;;;85
473;;;;;80;;;;92;;;;;;97;;;;;;83;;;;;;;;;89
474;;;;;84;;;;64;;;;;;;;;;;;;;;;;;;;;
475;;;;;92;;;;84;;;;;;83;;;;;;69;;;;;;;;;67
476;;;;;88;;;;82;;;;;;86;;;;;;90;;;;;;;;;94
477;;;;;82;;;;78;;;;;;95;;;;;;87;;;;;;;;;97
