code_student;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;234;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;218;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;243;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;223;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;167;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
