code_student;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
1;554;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;4;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;
3;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;538;;;;;9;;;;;17;;;;;;;;;3;;;;;;;;;;
6;1301;;;;;8;;;;;;;;;;;;;;4;5;;;;;;;;;
7;116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;775;;;;;3;;;;;;;;;;;;;;6;;;;;;;;;;
9;1127;;;;;;;;;;22;;;;;;;;;;;;;;;;;;;
12;558;;;;;9;;;;;24;;;;;;;;;6;6;;;3;9;;;;;
13;561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;466;;;;;3;;;;;15;;;;;;;;;9;6;;;3;10;;;;3;
17;513;;;;;7;;;;;18;;;;;;;;;8;6;;;3;9;;;;3;
20;84;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
21;770;;;;;;;;;;;;;;;;;;;4;9;;;;;;;;;
22;607;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;524;;;;;10;;;;;24;;;;;;;;;13;7;;;;6;;;;6;
24;545;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
25;565;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;839;;;;;8;;;;;;;;;;;;;;2;;;;;;;;;;
27;3364;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;665;;;;;9;;;;;28;;;;;;;;;9;7;;;1;9;;;;3;
31;1562;;;;;6;;;;;6;;;;;;;;;10;6;;;3;12;;;;9;
32;582;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;100;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
35;361;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
36;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;475;;;;;9;;;;;26;;;;;;;;;6;6;;;;;;;;;
40;53;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
41;633;;;;;3;;;;;18;;;;;;;;;3;3;;;;;;;;;
42;141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;608;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;142;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
47;147;;;;;3;;;;;22;;;;;;;;;;;;;;;;;;;
48;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;627;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
50;725;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;
51;705;;;;;10;;;;;1;;;;;;;;;9;7;;;3;;;;;;
52;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;744;;;;;3;;;;;32;;;;;;;;;7;5;;;;6;;;;;
54;859;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;584;;;;;3;;;;;;;;;;;;;;;;;;;6;;;;;
56;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;854;;;;;;;;;;5;;;;;;;;;;2;;;;;;;;;
58;444;;;;;;;;;;;;;;;;;;;4;2;;;2;;;;;1;
59;440;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;596;;;;;9;;;;;28;;;;;;;;;3;6;;;;6;;;;3;
61;583;;;;;3;;;;;21;;;;;;;;;2;4;;;2;6;;;;;
62;1091;;;;;10;;;;;31;;;;;;;;;;;;;;;;;;1;
63;87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;696;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;873;;;;;10;;;;;8;;;;;;;;;9;7;;;3;6;;;;8;
68;1246;;;;;9;;;;;50;;;;;;;;;10;6;;;3;10;;;;6;
69;999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;55;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
71;531;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
72;135;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;
74;1208;;;;;9;;;;;27;;;;;;;;;3;;;;;4;;;;4;
75;633;;;;;6;;;;;12;;;;;;;;;9;3;;;;;;;;;
77;1;;;;;8;;;;;35;;;;;;;;;;;;;;;;;;;
78;658;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;618;;;;;3;;;;;;;;;;;;;;7;3;;;;5;;;;;
81;241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;670;;;;;9;;;;;24;;;;;;;;;7;1;;;4;8;;;;6;
83;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;429;;;;;8;;;;;24;;;;;;;;;9;6;;;3;9;;;;3;
86;68;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
87;639;;;;;11;;;;;1;;;;;;;;;10;7;;;;;;;;;
88;769;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;
