code_student;0;1;2;3;4;5;7;8;9;10;11;12;13;14;15;16;18;19;20;21;22;23;24;26;27;28;29;;
1;78;109;0;;0;;;;0;;2;0;0;;;;25;0;0;;;;;;;;1;;
2;12;0;;3;0;3;;;;;;;;;;;;;;;;;;;;;0;;
3;18;16;7;16;0;;;;;;;;;;;;7;;;;;;;;;;;;
4;25;1;11;;;;;;;;;;;;;;;;;;;;;;;;7;;2
5;76;16;36;29;21;4;29;3;58;0;8;12;5;5;;;20;4;11;0;0;15;3;;0;2;84;;
6;73;35;48;20;34;54;57;24;11;36;38;40;13;21;15;11;53;8;5;16;8;12;15;15;5;10;87;;
7;25;0;27;18;14;9;6;0;2;16;15;10;;0;;;4;;;;;;;;;;;;
8;69;31;52;7;37;55;28;8;0;0;18;20;18;0;0;0;42;13;12;12;15;0;0;0;;1;0;;
9;80;56;48;28;49;72;88;27;25;28;34;23;24;14;0;0;15;12;31;;0;26;24;7;0;6;114;;
10;13;0;0;;;;;;;;;;;;;;0;;;;;;;;;;0;;
11;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;75;11;33;5;3;3;4;2;2;7;7;13;15;8;13;0;43;4;10;3;9;7;9;10;11;1;30;;
13;101;0;;;0;;;;0;;61;1;0;;0;;;;;;;0;;;;;0;;
14;75;3;68;30;2;63;64;66;60;45;43;43;30;36;31;2;20;21;20;20;16;18;14;10;9;7;2;;
15;5;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
16;45;16;;0;;;;;0;;;;;;;;;;;;;;;;;;0;;
17;73;8;33;20;61;5;15;34;24;51;65;30;40;32;15;4;40;4;1;11;21;18;14;13;3;6;36;;
18;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;15;;1;1;4;8;0;;;;;;;;;;3;;;;;;;;;;0;;
20;16;1;0;0;;13;0;;;;;;;;;;;;;;;;;;;;2;;
21;83;91;52;58;11;68;70;71;72;71;60;34;43;31;9;43;46;25;24;37;32;34;30;1;0;10;45;;
22;85;35;48;6;12;8;84;14;56;10;33;37;28;0;2;20;13;21;21;0;21;21;0;0;21;27;0;;
23;74;64;60;47;60;66;74;15;37;31;51;39;25;29;22;9;43;24;16;12;15;8;6;7;0;4;93;;
24;86;13;66;74;71;89;78;55;63;39;58;43;46;18;40;0;58;18;20;20;0;1;0;1;0;1;89;;
25;83;;63;47;;;0;;;;0;23;0;;0;;0;;;;;;;;;;;;
26;74;35;;53;14;7;54;0;;;;34;11;5;;;9;2;1;;;3;4;4;;1;33;;
27;80;67;105;70;18;112;100;0;0;72;71;57;65;52;;68;26;1;1;0;;2;1;0;;13;59;;
28;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;74;97;79;60;71;60;80;65;45;34;32;37;32;35;34;34;34;27;23;27;19;23;17;25;23;21;43;;
30;13;0;3;;;;;0;;;;;;;;;;;;;;;;;;;;;
31;81;77;52;40;44;63;64;28;36;33;33;33;13;24;30;10;32;24;24;21;21;24;20;18;3;7;55;;
32;92;54;94;1;76;0;93;0;0;0;73;51;41;48;0;51;86;0;51;0;0;0;0;1;0;1;1;;
33;5;5;4;;;;;;;;;;;;;;;;;;;;;;;;1;;
34;25;7;10;2;3;2;2;3;7;0;;;;;;;;;;;;;;;;;0;;
35;42;15;51;1;12;12;8;3;7;6;2;4;2;7;;;0;;;;;;;;;;3;;
36;21;9;5;;0;;;;;;;;;;;;8;;;;;;;;;;0;;
37;64;14;0;;;;;;;;;;;;;;0;;;0;;;;;;0;0;;
38;80;14;48;24;36;3;26;23;23;17;10;27;11;4;6;3;44;16;17;11;10;5;1;11;2;4;64;;
39;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;14;0;;3;4;1;;;;;;;;;;;;;;;;;;;;;;;7
41;78;0;82;51;52;72;71;2;2;1;40;33;7;45;29;0;34;2;13;2;9;20;18;0;;4;0;;
42;68;59;57;0;0;0;0;;0;0;0;0;1;;;;1;0;0;0;;0;;;;;0;;
43;30;;;;;;;;;;0;15;0;0;;;;;;;;;;;;;;;
44;87;70;91;102;81;10;9;10;54;0;62;0;0;;;;5;0;14;;14;0;0;0;0;1;84;;
45;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;26;7;0;1;2;6;3;0;2;4;;;;;;;;;;;;;;;;;26;;
47;29;18;14;22;15;9;3;4;4;9;5;4;0;0;;;14;;;;;;;;;;40;;
48;45;0;;0;;;;;;;;18;;;;;;;;;;;;;;;;;
49;78;101;77;0;104;67;74;71;;63;0;39;46;;;44;62;;0;0;0;10;;11;;0;64;;
50;70;33;10;40;7;4;65;81;62;76;0;14;13;37;48;0;11;10;7;25;0;0;0;2;0;2;60;;
51;80;71;49;46;70;41;8;1;1;0;0;7;3;;0;;36;4;4;2;1;2;;;;;60;;
52;16;;1;8;3;1;;0;;;;;;;;;0;;;;;;;;;;0;;
53;69;24;49;5;43;28;27;30;25;44;21;16;14;8;6;26;31;22;12;11;15;19;14;12;4;3;1;;
54;73;;;;1;;7;19;0;0;1;0;0;0;0;0;60;;13;;0;0;1;14;0;6;1;;
55;78;22;50;57;0;56;94;49;0;60;67;34;33;44;;;24;4;1;1;0;8;5;;;8;118;;
56;6;4;0;;;;;;;;;;;;;;;;;;;;;;;;0;;
57;74;75;51;44;34;86;77;46;55;26;46;48;43;55;35;0;10;18;24;26;29;18;2;12;19;7;11;;
58;88;10;0;0;26;0;16;0;13;3;3;0;0;1;2;0;29;8;1;0;0;2;1;0;1;1;87;;
59;87;;;36;;0;0;;;0;;8;0;0;;;3;;0;;;0;;;;1;0;;
60;78;32;75;38;8;52;59;45;45;40;44;47;27;35;27;6;31;14;20;1;13;26;16;18;5;9;54;;
61;68;1;54;32;2;10;63;;17;8;9;40;12;1;;;18;12;11;10;0;27;0;0;;23;35;;
62;76;32;62;29;32;48;57;30;19;15;4;22;39;47;50;15;66;34;37;37;37;23;17;27;16;18;112;;
63;38;25;25;5;26;10;16;5;42;5;5;;;;;;0;;;;;;;;;;;;
64;69;17;33;15;11;46;59;11;2;4;7;14;39;0;10;0;96;0;15;0;46;0;0;8;0;0;99;;
65;8;0;8;;;;;;;;;;;;;;;;;;;;;;;;0;;
66;86;5;0;100;89;87;0;0;;;0;49;0;0;21;0;1;0;0;57;0;0;;;;0;115;;
67;77;78;87;72;61;70;80;51;41;46;58;51;33;41;33;45;36;19;21;19;30;21;16;19;13;9;77;;
68;71;57;67;60;23;65;65;30;35;25;24;34;11;19;17;8;27;4;20;9;3;14;18;26;22;28;70;;
69;72;68;66;20;3;68;58;3;5;19;;38;16;0;0;;61;15;1;7;0;16;18;21;0;1;27;;
70;27;10;14;11;22;27;23;0;0;0;;;;;;;15;;;;;;;;;;0;;19
71;85;7;0;11;9;5;0;0;14;14;0;62;0;0;;0;117;;0;;0;1;0;8;;7;19;;
72;70;9;13;8;9;8;10;0;0;0;;43;2;39;38;0;35;20;18;0;0;0;0;0;0;0;55;;
73;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;66;89;48;57;7;11;60;1;38;4;3;15;12;4;3;1;33;9;10;13;13;30;2;15;0;4;66;;
75;76;14;70;19;15;63;74;0;62;0;0;39;8;8;47;;22;13;32;2;36;28;22;6;;0;3;;
76;15;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;
77;49;6;3;21;10;0;3;9;6;4;6;7;6;5;0;0;77;14;0;0;;;;;;;37;;
78;75;19;67;16;7;38;68;6;22;;3;8;5;4;4;;48;0;0;10;;1;0;0;;0;0;;
79;23;;;;;;;;;;;;0;;;0;;;;;;;;;;;;;
80;75;47;41;4;23;22;11;12;19;14;32;20;14;12;9;7;21;17;28;22;10;20;18;11;8;10;58;;
81;32;;0;0;;0;36;0;0;0;17;16;17;11;7;2;9;14;0;;;;;0;;;0;;
82;78;44;44;30;46;31;44;26;24;22;15;11;6;5;5;1;15;6;3;1;12;1;0;0;2;8;79;;
83;10;;7;0;7;2;;0;;;;;;;;;2;;;;;;;;;;;;
84;36;11;6;0;11;2;0;0;;;;;;;;;;;;;;;;;;;;;
85;73;36;47;41;40;32;29;23;11;7;7;11;11;4;3;2;53;10;9;1;28;1;7;0;0;3;7;;
86;30;9;0;;0;2;;;;;;;;;;;0;;;;;;;;;;0;;
87;81;79;90;75;63;62;56;24;42;58;63;47;49;48;12;;36;21;18;16;1;8;6;2;;5;4;;
88;69;12;11;15;8;4;1;11;;;;3;11;4;0;;17;20;0;25;;;;;;;61;;
89;74;37;77;36;36;30;26;38;37;39;35;38;43;46;43;48;31;28;28;32;22;18;18;3;1;1;73;;
90;10;0;12;;;;;;;;;;;;;;0;;;;;;;;;;;;
91;87;2;;;0;;1;;0;;;0;;;;;93;0;0;;;;;;;1;;;
92;76;21;98;22;5;90;78;49;59;76;40;64;26;46;29;0;45;39;26;19;27;23;27;11;10;13;59;;
93;24;31;20;18;0;8;5;3;0;;;;;;;;;;;;;;;;;;0;;
94;48;7;38;28;49;24;39;0;4;3;3;0;0;;0;0;3;0;;0;;;;;;;;;
95;80;32;39;18;18;83;70;16;47;0;18;64;12;0;13;1;13;1;6;6;23;12;0;10;0;15;108;;
96;73;13;10;17;6;9;64;6;37;46;17;37;14;38;0;1;48;23;21;19;0;16;14;;;0;81;;
97;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;15;0;;0;15;;0;;;;;;;;;;0;;;;;;;;;;;;
99;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;81;40;26;20;21;53;57;12;8;2;8;42;11;10;9;18;47;16;22;23;20;30;17;16;3;11;66;;
101;7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;76;68;69;9;70;67;72;77;63;62;47;56;40;45;14;14;18;11;26;27;27;28;26;17;7;7;66;;
103;16;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;81;;73;80;;30;0;;;;68;49;0;0;;;103;0;;;;0;;0;;0;103;;
105;74;6;65;12;46;3;53;42;57;2;0;45;12;8;1;0;18;21;16;22;23;19;18;18;17;17;92;;
106;63;44;30;17;9;6;16;10;31;5;3;10;9;4;4;0;59;8;9;9;0;3;3;1;;0;35;;
107;88;14;47;66;87;80;90;86;66;68;65;54;30;32;49;28;31;23;17;11;12;20;5;7;1;8;76;;
108;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110;73;72;49;47;6;40;31;58;0;56;;45;37;53;46;47;25;40;32;71;24;12;11;13;13;17;27;;
111;85;72;95;56;66;64;65;83;58;87;59;43;11;36;26;;39;22;27;18;14;15;15;6;0;;104;;
112;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;12;0;;;;;;;;;;;;;;;;;;;;;;;;;;;2
114;80;31;82;24;41;62;81;70;64;68;4;56;11;44;26;;31;18;24;11;26;1;6;;0;8;102;;
115;83;16;36;35;32;53;53;27;39;29;38;48;13;12;28;4;57;24;35;24;27;27;24;8;4;37;80;;
116;80;71;13;;9;92;78;0;24;;1;63;13;0;48;0;26;0;33;0;;0;53;0;;1;8;;
117;81;44;49;42;44;55;69;71;49;38;16;26;45;46;0;0;19;21;41;35;0;8;11;11;9;18;47;;
118;67;63;59;35;25;0;52;;0;0;;24;17;0;18;;7;0;11;11;11;1;4;1;0;0;76;;
119;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;39;0;5;11;18;0;;0;0;;;1;;;;;;;;;;;;;;;2;;
121;91;88;77;41;59;69;80;44;54;19;36;48;6;35;28;14;24;37;3;3;33;17;21;31;2;19;11;;
122;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
123;88;3;;0;0;;0;;;;;44;0;0;0;0;53;;;;;;;;;;82;;
124;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
125;85;104;47;44;98;56;76;0;47;48;17;53;36;45;47;;28;22;27;29;5;17;15;10;0;6;115;;
126;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;72;0;0;5;1;;;0;70;;0;52;18;13;39;13;31;7;2;0;0;0;1;0;0;0;49;;
128;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
129;15;0;;0;12;0;0;;;;;;;;;;;;;;;;;;;;;;
130;79;5;59;11;14;0;0;0;0;;;32;1;;;;54;;;1;0;18;0;0;0;0;;;
131;84;84;92;3;0;4;4;2;2;45;63;41;0;50;47;1;15;1;1;1;1;1;1;1;1;0;1;;
132;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
133;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
134;8;7;0;;;;;;;;;;;;;;;;;;;;;;;;;;
135;44;35;39;34;29;38;36;39;44;43;37;42;21;2;40;9;25;22;33;11;12;7;6;5;11;6;14;;
136;27;0;;37;34;1;5;0;0;;;;;;;;;;;;;;;;;;;;
137;18;2;13;4;5;3;1;;;;;;;;;;0;;;;;;;;;;0;;
138;95;63;92;59;7;74;90;83;49;79;72;59;11;44;27;22;46;12;12;1;;4;2;2;0;0;96;;
139;90;75;17;63;89;5;17;60;0;37;0;6;17;0;0;;17;4;20;16;0;14;10;0;0;0;55;;
140;74;13;103;38;45;33;57;54;54;38;49;37;12;7;5;1;23;18;17;24;11;28;21;19;12;12;72;;
141;11;2;7;0;0;3;0;;;;;;;;;;;;;;;;;;;;0;;
142;77;79;80;77;89;63;65;58;52;63;58;51;15;1;11;4;36;19;16;18;12;25;18;20;15;10;35;;
143;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
144;72;13;63;41;38;52;56;28;42;36;61;37;15;10;15;32;21;9;23;2;22;24;24;22;10;20;79;;
145;74;18;52;10;13;10;53;3;14;1;10;36;11;1;7;1;34;16;22;4;19;1;27;26;2;15;74;;
146;75;78;81;64;1;85;78;56;69;50;73;54;38;42;3;0;26;21;16;20;19;14;8;2;3;8;73;;
147;82;17;2;11;7;5;29;6;15;30;0;33;0;;0;;39;6;13;0;;;;;;;74;;
148;75;79;87;2;9;2;86;4;6;0;5;12;13;4;1;3;16;19;17;2;24;27;21;13;13;9;45;;
149;6;0;2;;0;;;;;;;;;;;;0;;;;;;;;;;0;;
150;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
151;66;13;48;5;4;21;81;0;63;19;;39;12;0;8;18;19;12;5;5;5;13;24;11;0;2;55;;
152;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
153;14;13;0;;;;;;;;;;;;;;;;;;;;;;;;0;;
154;36;5;42;5;28;18;11;11;5;0;4;17;12;6;0;;;;;;;;;;;;52;;
155;84;28;36;41;17;50;42;30;4;0;20;35;11;16;16;0;24;26;29;35;34;10;10;0;0;1;88;;
156;21;10;6;15;9;10;8;9;2;5;3;;;;;;5;;;;;;;;;;17;;
157;71;78;9;27;7;8;30;23;17;17;14;25;24;9;12;;54;;;;;10;6;5;;5;6;;
158;24;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
159;83;98;88;75;88;79;17;59;68;13;14;34;33;31;31;31;19;34;28;34;28;24;13;12;15;8;12;;
160;84;83;34;5;20;13;100;82;63;20;68;50;0;0;0;49;2;0;0;0;46;53;50;52;0;53;115;;
161;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
162;79;9;55;72;103;48;54;64;50;71;49;33;33;35;0;49;22;17;20;15;20;18;13;10;9;14;94;;
163;41;8;;0;0;;;;;;;;;;;;;;;;;;;;;;;;
164;72;9;50;21;23;56;57;39;4;4;1;60;9;2;35;;16;9;10;8;0;6;7;4;;4;108;;
165;79;2;51;52;0;66;58;;14;0;46;37;30;0;1;1;43;8;15;10;17;15;18;17;13;0;85;;
166;71;8;48;4;7;3;4;6;22;0;5;13;41;1;1;5;27;11;8;0;0;19;0;;;0;0;;
167;14;18;19;4;0;0;;0;;;;;;;;;;;;;;;;;;;;;
168;89;39;;;0;;0;;;0;0;0;3;;;;6;3;0;;0;0;0;0;;0;0;;
169;80;;;1;0;;2;0;0;86;1;2;;;21;;80;;;;36;2;2;2;0;0;0;;
170;88;66;;0;60;1;1;2;0;0;72;40;0;;;;72;0;0;;;11;0;1;;1;113;;
171;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
172;80;21;0;70;48;41;57;0;0;;0;49;5;0;;0;27;2;27;0;0;0;0;1;;0;;;
173;21;2;1;2;;;;;0;0;0;;;;;;;;;;;;;;;;;;
174;72;59;32;27;10;51;64;57;52;14;18;48;29;50;34;7;32;6;10;3;20;22;15;12;8;8;7;;
175;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
176;84;54;82;81;;71;71;69;59;51;32;45;37;37;30;30;23;37;0;1;0;2;2;2;0;2;69;;
177;7;3;;0;0;;;;;;;;;;;;;;;;;;;;;;3;;
178;78;86;90;53;81;63;81;45;47;47;73;54;32;32;43;42;27;24;22;19;23;23;15;13;12;7;60;;
179;74;31;42;50;24;46;55;16;48;35;46;28;8;3;1;0;18;9;8;8;3;21;10;17;1;7;52;;
180;29;9;;1;;4;3;0;0;;;;;;;;;;;;;;;;;;0;;
181;27;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;
182;6;;;0;;0;1;;;;;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;;
183;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
184;8;7;;0;1;;;;;;;;;;;;0;;;;;;;;;;0;;
185;62;44;0;;13;8;79;0;;;20;0;0;;;0;;;;;;;;;;;0;;
