code_student;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
1;;;;;24;;;;58;;;;;;97;;;;;;141;;;;;;;;;199
2;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;
3;;;;;22;;;;;;;;;;;;;;;;;;;;;;;;;
4;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;
5;;;;;20;;;;46;;;;;;93;;;;;;132;;;;;;;;;197
6;;;;;17;;;;46;;;;;;89;;;;;;129;;;;;;;;;196
7;;;;;-1;;;;-1;;;;;;74;;;;;;;;;;;;;;;
8;;;;;17;;;;58;;;;;;96;;;;;;144;;;;;;;;;200
9;;;;;23;;;;50;;;;;;114;;;;;;156;;;;;;;;;215
10;;;;;30;;;;;;;;;;;;;;;;;;;;;;;;;
12;;;;;22;;;;50;;;;;;91;;;;;;149;;;;;;;;;198
13;;;;;23;;;;57;;;;;;100;;;;;;149;;;;;;;;;
14;;;;;23;;;;51;;;;;;97;;;;;;134;;;;;;;;;195
16;;;;;23;;;;52;;;;;;92;;;;;;;;;;;;;;;
17;;;;;21;;;;50;;;;;;93;;;;;;135;;;;;;;;;197
19;;;;;32;;;;;;;;;;;;;;;;;;;;;;;;;
20;;;;;23;;;;52;;;;;;;;;;;;;;;;;;;;;
21;;;;;24;;;;52;;;;;;102;;;;;;136;;;;;;;;;219
22;;;;;23;;;;49;;;;;;94;;;;;;141;;;;;;;;;198
23;;;;;20;;;;49;;;;;;93;;;;;;133;;;;;;;;;187
24;;;;;24;;;;51;;;;;;93;;;;;;136;;;;;;;;;193
25;;;;;23;;;;51;;;;;;100;;;;;;144;;;;;;;;;
26;;;;;22;;;;50;;;;;;92;;;;;;130;;;;;;;;;197
27;;;;;20;;;;49;;;;;;101;;;;;;136;;;;;;;;;
28;;;;;-1;;;;-1;;;;;;;;;;;;;;;;;;;;;
29;;;;;20;;;;48;;;;;;92;;;;;;132;;;;;;;;;193
30;;;;;22;;;;;;;;;;;;;;;;;;;;;;;;;
31;;;;;22;;;;51;;;;;;95;;;;;;136;;;;;;;;;199
32;;;;;21;;;;55;;;;;;94;;;;;;136;;;;;;;;;
34;;;;;22;;;;;;;;;;;;;;;;;;;;;;;;;
35;;;;;24;;;;52;;;;;;98;;;;;;;;;;;;;;;
36;;;;;25;;;;52;;;;;;;;;;;;;;;;;;;;;
37;;;;;33;;;;;;;;;;;;;;;;;;;;;;;;;
38;;;;;23;;;;50;;;;;;93;;;;;;134;;;;;;;;;197
40;;;;;25;;;;;;;;;;;;;;;;;;;;;;;;;
41;;;;;24;;;;52;;;;;;91;;;;;;136;;;;;;;;;199
42;;;;;24;;;;51;;;;;;94;;;;;;149;;;;;;;;;199
43;;;;;-1;;;;-1;;;;;;99;;;;;;141;;;;;;;;;
44;;;;;31;;;;52;;;;;;101;;;;;;;;;;;;;;;212
