code_student;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
