id_student,id_site,date,sum_click,activity_type,week_from,code_student,date_registration,date_unregistration
2398260.0,883041.0,-18.0,1.0,subpage,2.0,2285.0,-38.0,
2398260.0,883041.0,11.0,1.0,subpage,2.0,2285.0,-38.0,
2398260.0,882602.0,-18.0,1.0,oucontent,2.0,2285.0,-38.0,
2398260.0,882602.0,-18.0,1.0,oucontent,2.0,2285.0,-38.0,
2398260.0,882587.0,-18.0,2.0,oucontent,29.0,2285.0,-38.0,
2398260.0,882587.0,-18.0,3.0,oucontent,29.0,2285.0,-38.0,
2398260.0,882587.0,-17.0,3.0,oucontent,29.0,2285.0,-38.0,
2398260.0,882587.0,-17.0,1.0,oucontent,29.0,2285.0,-38.0,
2398260.0,882587.0,1.0,1.0,oucontent,29.0,2285.0,-38.0,
2398260.0,882587.0,1.0,11.0,oucontent,29.0,2285.0,-38.0,
2398260.0,883142.0,-18.0,1.0,htmlactivity,0.0,2285.0,-38.0,
2398260.0,883142.0,-4.0,1.0,htmlactivity,0.0,2285.0,-38.0,
2398260.0,883142.0,-1.0,1.0,htmlactivity,0.0,2285.0,-38.0,
2398260.0,883092.0,-18.0,1.0,subpage,0.0,2285.0,-38.0,
2398260.0,883092.0,1.0,1.0,subpage,0.0,2285.0,-38.0,
2398260.0,883092.0,6.0,2.0,subpage,0.0,2285.0,-38.0,
2398260.0,883092.0,23.0,1.0,subpage,0.0,2285.0,-38.0,
2398260.0,883064.0,-18.0,1.0,subpage,0.0,2285.0,-38.0,
2398260.0,883064.0,1.0,1.0,subpage,0.0,2285.0,-38.0,
2398260.0,883037.0,-18.0,1.0,subpage,0.0,2285.0,-38.0,
2398260.0,883037.0,1.0,4.0,subpage,0.0,2285.0,-38.0,
2398260.0,883037.0,6.0,2.0,subpage,0.0,2285.0,-38.0,
2398260.0,883060.0,-18.0,1.0,subpage,0.0,2285.0,-38.0,
2398260.0,883060.0,0.0,4.0,subpage,0.0,2285.0,-38.0,
2398260.0,883060.0,1.0,4.0,subpage,0.0,2285.0,-38.0,
2398260.0,883060.0,2.0,1.0,subpage,0.0,2285.0,-38.0,
2398260.0,883060.0,4.0,1.0,subpage,0.0,2285.0,-38.0,
2398260.0,882670.0,-18.0,1.0,oucontent,2.0,2285.0,-38.0,
2398260.0,882663.0,-18.0,5.0,oucontent,1.0,2285.0,-38.0,
2398260.0,882663.0,1.0,5.0,oucontent,1.0,2285.0,-38.0,
2398260.0,882626.0,-18.0,2.0,oucontent,0.0,2285.0,-38.0,
2398260.0,882626.0,-4.0,10.0,oucontent,0.0,2285.0,-38.0,
2398260.0,882626.0,0.0,9.0,oucontent,0.0,2285.0,-38.0,
2398260.0,882617.0,-18.0,1.0,oucontent,0.0,2285.0,-38.0,
2398260.0,882617.0,1.0,3.0,oucontent,0.0,2285.0,-38.0,
2398260.0,882617.0,1.0,1.0,oucontent,0.0,2285.0,-38.0,
2398260.0,882617.0,6.0,4.0,oucontent,0.0,2285.0,-38.0,
2398260.0,882617.0,7.0,4.0,oucontent,0.0,2285.0,-38.0,
2398260.0,882617.0,23.0,3.0,oucontent,0.0,2285.0,-38.0,
2398260.0,882609.0,-18.0,1.0,oucontent,0.0,2285.0,-38.0,
2398260.0,882609.0,1.0,1.0,oucontent,0.0,2285.0,-38.0,
2398260.0,882609.0,6.0,1.0,oucontent,0.0,2285.0,-38.0,
2398260.0,882580.0,-18.0,1.0,oucontent,0.0,2285.0,-38.0,
2398260.0,882537.0,-18.0,8.0,homepage,0.0,2285.0,-38.0,
2398260.0,882537.0,-4.0,7.0,homepage,0.0,2285.0,-38.0,
2398260.0,882537.0,-1.0,5.0,homepage,0.0,2285.0,-38.0,
2398260.0,882537.0,0.0,7.0,homepage,0.0,2285.0,-38.0,
2398260.0,882537.0,1.0,15.0,homepage,0.0,2285.0,-38.0,
2398260.0,882537.0,2.0,5.0,homepage,0.0,2285.0,-38.0,
2398260.0,882537.0,4.0,3.0,homepage,0.0,2285.0,-38.0,
2398260.0,882537.0,6.0,8.0,homepage,0.0,2285.0,-38.0,
2398260.0,882537.0,7.0,4.0,homepage,0.0,2285.0,-38.0,
2398260.0,882537.0,8.0,1.0,homepage,0.0,2285.0,-38.0,
2398260.0,882537.0,9.0,1.0,homepage,0.0,2285.0,-38.0,
2398260.0,882537.0,11.0,1.0,homepage,0.0,2285.0,-38.0,
2398260.0,882537.0,15.0,7.0,homepage,0.0,2285.0,-38.0,
2398260.0,882537.0,23.0,3.0,homepage,0.0,2285.0,-38.0,
2398260.0,883040.0,-18.0,1.0,subpage,1.0,2285.0,-38.0,
2398260.0,883040.0,1.0,3.0,subpage,1.0,2285.0,-38.0,
2398260.0,883040.0,2.0,6.0,subpage,1.0,2285.0,-38.0,
2398260.0,883040.0,4.0,1.0,subpage,1.0,2285.0,-38.0,
2398260.0,883040.0,6.0,1.0,subpage,1.0,2285.0,-38.0,
2398260.0,883040.0,8.0,1.0,subpage,1.0,2285.0,-38.0,
2398260.0,883036.0,0.0,1.0,subpage,0.0,2285.0,-38.0,
2398260.0,883036.0,1.0,1.0,subpage,0.0,2285.0,-38.0,
2398260.0,883076.0,0.0,2.0,subpage,0.0,2285.0,-38.0,
2398260.0,883076.0,1.0,1.0,subpage,0.0,2285.0,-38.0,
2398260.0,883076.0,2.0,1.0,subpage,0.0,2285.0,-38.0,
2398260.0,883076.0,4.0,1.0,subpage,0.0,2285.0,-38.0,
2398260.0,882654.0,0.0,1.0,oucontent,0.0,2285.0,-38.0,
2398260.0,882654.0,0.0,5.0,oucontent,0.0,2285.0,-38.0,
2398260.0,883024.0,0.0,1.0,resource,0.0,2285.0,-38.0,
2398260.0,882922.0,0.0,1.0,resource,0.0,2285.0,-38.0,
2398260.0,882923.0,0.0,1.0,resource,0.0,2285.0,-38.0,
2398260.0,883281.0,0.0,1.0,url,0.0,2285.0,-38.0,
2398260.0,883281.0,1.0,2.0,url,0.0,2285.0,-38.0,
2398260.0,882551.0,-1.0,1.0,forumng,0.0,2285.0,-38.0,
2398260.0,882551.0,-1.0,1.0,forumng,0.0,2285.0,-38.0,
2398260.0,882551.0,0.0,8.0,forumng,0.0,2285.0,-38.0,
2398260.0,882551.0,0.0,10.0,forumng,0.0,2285.0,-38.0,
2398260.0,882551.0,1.0,2.0,forumng,0.0,2285.0,-38.0,
2398260.0,882551.0,1.0,2.0,forumng,0.0,2285.0,-38.0,
2398260.0,882633.0,2.0,3.0,oucontent,1.0,2285.0,-38.0,
2398260.0,883075.0,1.0,1.0,subpage,0.0,2285.0,-38.0,
2398260.0,883289.0,4.0,1.0,url,0.0,2285.0,-38.0,
2398260.0,882665.0,1.0,2.0,oucontent,1.0,2285.0,-38.0,
2398260.0,882665.0,2.0,1.0,oucontent,1.0,2285.0,-38.0,
2398260.0,882940.0,0.0,1.0,resource,0.0,2285.0,-38.0,
2398260.0,883282.0,0.0,1.0,url,0.0,2285.0,-38.0,
2398260.0,883282.0,1.0,1.0,url,0.0,2285.0,-38.0,
2398260.0,883143.0,0.0,2.0,htmlactivity,0.0,2285.0,-38.0,
2398260.0,882707.0,2.0,2.0,page,1.0,2285.0,-38.0,
2398260.0,882642.0,1.0,1.0,oucontent,0.0,2285.0,-38.0,
2398260.0,882642.0,4.0,1.0,oucontent,0.0,2285.0,-38.0,
2398260.0,883283.0,1.0,1.0,url,0.0,2285.0,-38.0,
