id_assessment;id_student;date_submitted;is_banked;score;assessment_type;date;weight;activity_type;week_from;week_to;code_student;code_module;code_presentation;date_registration;date_unregistration
14984.0;340831.0;19.0;0.0;75.0;TMA;19.0;5.0;;;;198.0;FFF;2014J;-29.0;69.0
14985.0;340831.0;47.0;0.0;70.0;TMA;47.0;18.0;;;;198.0;FFF;2014J;-29.0;69.0
14986.0;340831.0;99.0;0.0;79.0;TMA;89.0;18.0;;;;198.0;FFF;2014J;-29.0;69.0
14991.0;340831.0;60.0;0.0;100.0;CMA;54.0;1.0;;;;198.0;FFF;2014J;-29.0;69.0
14992.0;340831.0;95.0;0.0;100.0;CMA;89.0;1.0;;;;198.0;FFF;2014J;-29.0;69.0
14993.0;340831.0;126.0;0.0;100.0;CMA;124.0;1.0;;;;198.0;FFF;2014J;-29.0;69.0
15008.0;340831.0;-1.0;1.0;75.0;TMA;12.0;5.0;;;;198.0;FFF;2014J;-29.0;69.0
15009.0;340831.0;-1.0;1.0;70.0;TMA;40.0;18.0;;;;198.0;FFF;2014J;-29.0;69.0
15010.0;340831.0;-1.0;1.0;79.0;TMA;82.0;18.0;;;;198.0;FFF;2014J;-29.0;69.0
15011.0;340831.0;127.0;0.0;77.0;TMA;117.0;18.0;;;;198.0;FFF;2014J;-29.0;69.0
15012.0;340831.0;158.0;0.0;88.0;TMA;152.0;18.0;;;;198.0;FFF;2014J;-29.0;69.0
15013.0;340831.0;194.0;0.0;70.0;TMA;194.0;18.0;;;;198.0;FFF;2014J;-29.0;69.0
15015.0;340831.0;-1.0;1.0;100.0;CMA;47.0;1.0;;;;198.0;FFF;2014J;-29.0;69.0
15016.0;340831.0;-1.0;1.0;100.0;CMA;82.0;1.0;;;;198.0;FFF;2014J;-29.0;69.0
15017.0;340831.0;-1.0;1.0;100.0;CMA;117.0;1.0;;;;198.0;FFF;2014J;-29.0;69.0
15018.0;340831.0;154.0;0.0;100.0;CMA;152.0;1.0;;;;198.0;FFF;2014J;-29.0;69.0
15019.0;340831.0;200.0;0.0;100.0;CMA;194.0;1.0;;;;198.0;FFF;2014J;-29.0;69.0
34899.0;340831.0;26.0;0.0;62.0;TMA;24.0;12.5;TMA;4.0;4.0;198.0;FFF;2014J;-29.0;69.0
24282.0;279883.0;39.0;0.0;42.0;TMA;32.0;9.0;;;;141.0;FFF;2014J;-25.0;12.0
34899.0;279883.0;31.0;0.0;56.0;TMA;24.0;12.5;TMA;4.0;4.0;141.0;FFF;2014J;-25.0;12.0
24282.0;295893.0;32.0;0.0;26.0;TMA;32.0;9.0;;;;158.0;FFF;2014J;-43.0;
24286.0;295893.0;20.0;0.0;50.0;CMA;18.0;2.0;;;;158.0;FFF;2014J;-43.0;
24287.0;295893.0;73.0;0.0;0.0;CMA;67.0;7.0;;;;158.0;FFF;2014J;-43.0;
34899.0;295893.0;33.0;0.0;22.0;TMA;24.0;12.5;TMA;4.0;4.0;158.0;FFF;2014J;-43.0;
34900.0;295893.0;51.0;0.0;24.0;TMA;52.0;12.5;TMA;8.0;8.0;158.0;FFF;2014J;-43.0;
24282.0;441540.0;39.0;0.0;42.0;TMA;32.0;9.0;;;;307.0;FFF;2014J;-115.0;-73.0
24286.0;441540.0;20.0;0.0;60.0;CMA;18.0;2.0;;;;307.0;FFF;2014J;-115.0;-73.0
24287.0;441540.0;69.0;0.0;81.0;CMA;67.0;7.0;;;;307.0;FFF;2014J;-115.0;-73.0
30709.0;441540.0;32.0;0.0;98.0;TMA;33.0;16.0;;;;307.0;FFF;2014J;-115.0;-73.0
30710.0;441540.0;67.0;0.0;91.0;TMA;68.0;28.0;;;;307.0;FFF;2014J;-115.0;-73.0
30711.0;441540.0;124.0;0.0;84.0;TMA;124.0;28.0;;;;307.0;FFF;2014J;-115.0;-73.0
30712.0;441540.0;159.0;0.0;88.0;TMA;159.0;28.0;;;;307.0;FFF;2014J;-115.0;-73.0
24282.0;537322.0;30.0;0.0;84.0;TMA;32.0;9.0;;;;450.0;FFF;2014J;-24.0;
24283.0;537322.0;102.0;0.0;59.0;TMA;102.0;22.0;;;;450.0;FFF;2014J;-24.0;
24284.0;537322.0;150.0;0.0;88.0;TMA;151.0;22.0;;;;450.0;FFF;2014J;-24.0;
24285.0;537322.0;199.0;0.0;88.0;TMA;200.0;22.0;;;;450.0;FFF;2014J;-24.0;
24286.0;537322.0;20.0;0.0;70.0;CMA;18.0;2.0;;;;450.0;FFF;2014J;-24.0;
24287.0;537322.0;69.0;0.0;87.0;CMA;67.0;7.0;;;;450.0;FFF;2014J;-24.0;
24288.0;537322.0;139.0;0.0;88.0;CMA;137.0;8.0;;;;450.0;FFF;2014J;-24.0;
24289.0;537322.0;209.0;0.0;80.0;CMA;207.0;8.0;;;;450.0;FFF;2014J;-24.0;
24290.0;537322.0;230.0;0.0;90.0;Exam;;100.0;;;;450.0;FFF;2014J;-24.0;
